track_id	source_ext	source_bytes	source_sha256	opus_bitrate_kbps	opus_bytes	opus_sha256	duration_ms	channels
tchaikovsky-seasons-august	ogg	3641988	96df546f68ab8abc44c160c995e68ca0091edf75a8e1f8e0443d62682388d2e1	128	3465141	2a03c15d8f067091e1e5b5050389bbd36d9482923bb7206dd0f1674d2c96017a	191958	2
tchaikovsky-seasons-december	ogg	4594405	ff26bd1d26ad74aee76d53638868183090deff6245774b76082d139ce8fdd859	128	4399047	731d31d061e01710682a93a27846995b6b688eb80e6e9c0cf290c7d7c345563b	240044	2
tchaikovsky-seasons-february	ogg	3162007	a3a42e5e8ca0550fbbea9c01250de4611fc8e24be78845892a54c4abc43b5499	128	2962729	3b020c0a08dd28c52ef6d3ea64d9de2b51476c98fdc2ea2d46df8e8bfa1f169a	163551	2
tchaikovsky-seasons-january	ogg	5285787	1abdb825ec8b6773a97ffa58fe4a7f18bb7ad0960c34d743eab9ff949bacda25	128	5172102	1b4c25c36125e25e557181e0730ccf34f9dcd00c3bd57d36673422a6ecbf9f5b	280795	2
tchaikovsky-seasons-july	ogg	2139923	018c3962b2b756f79aef7118fe28de064305ee134a5efcca9872a4796a2d7a91	128	2088898	b05c0d7d4a9ea5566e02d70a80ce85cd06ea52e66760f16e9d225e3e8823f442	113074	2
tchaikovsky-seasons-june	ogg	4415625	9f8f31219013e8488a457008078d717ee70b1d4012281c7988959e0d2011e948	128	4290117	ef932b116c3dc53987365f8ad223d2cc9bc01649d0126f76afe09dba20e3fc71	231362	2
tchaikovsky-seasons-march	ogg	2607025	0c659e41adca3f9e4f34c04714cb6b474ddd469bba254fc0ed4807814a9ada7a	128	2488325	05f3539f8f297c935bb5ea01d929881f674be4e3359786a2f4b264c9c3a15ea5	134838	2
tchaikovsky-seasons-may	ogg	3631357	d66a375d2838d1b155c7b1c65f93f2273e99d49f03dae323ae13db52608cb9eb	128	3607957	834135c8218a8401068ef93ae826cc39760b285f05d82cbf9d78ca3a6ef13555	193744	2
tchaikovsky-seasons-november	ogg	3353954	7ef49a311b9d37925c9f598d058661697809f3816183c61e309f07512a53e3a9	128	3304166	feb320c7ae1d733654e6d719add0da0b4494eeaee230134a3e2bb3acf60c18bf	176976	2
tchaikovsky-seasons-october	ogg	3560769	018c84e00d23d85a8a852392bd43234574f7622a94b0f8bd599824e1f4e08bca	128	3473328	ed8ddb8d391d2edeefccadd49236240846e7b02cf9c9696a949507431f421bd5	186477	2
tchaikovsky-seasons-september	ogg	3208540	96f473f9440623f1afa99337be802d8fde928748dd9841e6a0dab759c0c7a96d	128	3142661	06937844cd8577820db330da6b795ca0409a95ce689fe6475d309dc7e2e1efd0	166429	2
tiny-movement	mp3	2065946	ca348f3462edda77207e8abceee5171fc3ff52a99292674fdb02fca4eb6bd431	112	1909114	b74206895b894eb4a045952345d4e1418df99f84d7f60b8010808464b75da299	129417	2
vivaldi-double-one	ogg	6258533	7f7fcae1a257c679c08ac56a0afb502e6b45524215a6fcfb4176b8e94c3ab02f	128	4077123	f522520c373122618e3505c0f5e8ff7cfb6c102a443e21f2c642a5cd4346a319	236739	2
vivaldi-double-three	ogg	4111760	6e14b371d376c7a3076957e88357b3c3a041d64f1309afba5d3485dcf100d7c4	128	2614151	52d41f4fa16d9339fd020bf818181df1fcfb57617acffe8035b725bda26b907f	146394	2
vivaldi-double-two	ogg	3682846	ea068ae79ae614b7aff1f51d409acc5257553856a7c17bebb5d7782764e5cb52	128	2528365	792646b66bb1c47afb0e5bd788dd6f1b824632f621665bd82fd0a34776eb331f	134249	2
vivaldi-notte-four	ogg	789139	c8c98afabb16893d38e1f13562496ca08f80a843bce0dedfe3fabb14c47940f4	128	871414	da60371a0a5bf3c49993a9c48c4b8f930f5c2adb93f49066a74dd6d17b085f20	57303	2
vivaldi-notte-one	ogg	953504	5c852a61f813c624c0083dac24f6539698f0ee9a09ba33a2eed9292d0611d9a8	128	1031949	e7fa72ca0de7879361d3e66c0d23ccd14e9568c59c217572a313592e2cbcdbc9	70609	2
vivaldi-notte-three	ogg	624021	1bf8b217da6bccc9582935f09ab1816302b0eb38f488f955caf579cb96884898	128	727972	7c5e49c367ab37cff91befc688885095fc8b93f71786a8708f6e55c259041fd5	45183	2
vivaldi-notte-two	ogg	656638	2614f876e211e22c155ade3c8232afc07e7234ea028d6d3c1ba13349ecf36b59	128	690254	f29dcc6711f19531f7a9b8b207700f04e9a6cd87c8ad01bfb69e02aaf9f8cc7e	46689	2
vivaldi-recorder-three	ogg	2722779	e48f3ae3d4fe7854c18059ebbbfeb3da025d777258bc25a68fa43a449e0a7323	128	3113311	e573eba4654c66a51d25d0b773ac3a98b78c18280880d451963efb7491866d35	201609	2
vivaldi-recorder-two	ogg	996067	0489453cd00e357310b758a52e1d2ba09dbb13378a4e13544a45599c6c873b19	128	1714507	6a18b60d8c619dacdc1385c3d6f42d07a7be043ed7d0a18be1e851fe8f7cc43e	83729	2
vivaldi-winter-allegro	ogg	3653114	60d2fa4fa225fdbf73859bea257f7375926860d0116b0c0e0aa9c3026d540585	128	3271601	8abb1ec36fa59b525cb4e0b062052f6cac954e293d6e78cadb9b5522734d38cd	193009	2
vivaldi-winter-largo	ogg	2544381	864cc8659495369ede90be6e82966a88419450c81853ce7e096c6727e6b75907	128	2431153	184450a93aa53f05ff7983ab1c0d60491a5af689702f75a265947f1837c8b6c8	132343	2
weber-grand-duo-andante	ogg	9700637	4fdccb8eadf25e32126ab220b0f8f2cc0e4dc2792853c1da7076055840b789c0	128	7129387	26516b296f218ae901c93b8e08d66755fdd55edcf4b6d1ae2fdce4cd9a51b2f9	383075	2
white-lotus	mp3	82867838	9d66f2eb0113397f9d9aeb6c8f385a82503aeaf8fa84c7ec9fc568189307294a	96	33754051	71ccaf823625fa299db28fbefecd24bbd0c3a00a1b86c09264627caa676b686a	2071593	2
yd-searching	ogg	2113188	add2ee7931fd0c53f2804220e7355b10b38dbf5ab2b4dfdd415b61d8e14e51c8	96	1545129	9309f1d76771e4b3597b760e0d01a0ef64a748edc6afb21ee0616082bcf41220	104586	2
yoiyami-deep-blue	wav	45112360	613d462f5229568ad98dcbe870036ccdf858f5ae33c63386cace86548809cb60	96	2977797	0eb155e952b0eea687b1d39908eef518d7707ac465afb071e525ff5c455d1c11	234966	2
yoiyami-first-light	wav	25290280	f0538a1a67450cc1d5e305fad5bc0d5d422ad809f720d695ab356e55fbe40fc5	96	1923917	85931472b1164036dd242f7de179c5807a1dad03075559334442429b2fe6403e	131726	2
zither-strauss-woods	ogg	827820	52bf310622427b82f571da414dfc06778f51cc6ab43c25ec94b344ae407e68f9	96	815716	6136430821cc7b188335927d3d859b5ba8ffac65b88ac1ddceeb947d6763796b	64060	1
