# Soundist 电台音频完整下载地址
# 来源：prototypes/mobile-interactive/src/app/radioCatalog.ts
# 开放精选频道：24
# 曲目位置：312
# 去重音频：294
# 格式：ID | 标题 | 直接下载地址 | 来源页面

beethoven-diabelli-30 | 迪亚贝利变奏曲 30 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%20-%20Diabelli%20Variations%20-%2030.ogg | https://commons.wikimedia.org/wiki/File:Beethoven%20-%20Diabelli%20Variations%20-%2030.ogg
beethoven-diabelli-31 | 迪亚贝利变奏曲 31 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%20-%20Diabelli%20Variations%20-%2031.ogg | https://commons.wikimedia.org/wiki/File:Beethoven%20-%20Diabelli%20Variations%20-%2031.ogg
beethoven-diabelli-32 | 迪亚贝利变奏曲 32 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%20-%20Diabelli%20Variations%20-%2032.ogg | https://commons.wikimedia.org/wiki/File:Beethoven%20-%20Diabelli%20Variations%20-%2032.ogg
beethoven-diabelli-33 | 迪亚贝利变奏曲 33 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%20-%20Diabelli%20Variations%20-%2033.ogg | https://commons.wikimedia.org/wiki/File:Beethoven%20-%20Diabelli%20Variations%20-%2033.ogg
beethoven-diabelli-theme | 迪亚贝利变奏曲：主题 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%20-%20Diabelli%20Variations%20-%2000.ogg | https://commons.wikimedia.org/wiki/File:Beethoven%20-%20Diabelli%20Variations%20-%2000.ogg
beethoven-hammerklavier-adagio | 槌子键琴奏鸣曲：柔板 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%2C%20Piano%20Sonata%20No.%2029%20in%20B-flat%20Major%2C%20Op.%20106%20Hammerklavier%20-%20III.%20Adagio%20sostenuto.ogg | https://commons.wikimedia.org/wiki/File:Beethoven%2C%20Piano%20Sonata%20No.%2029%20in%20B-flat%20Major%2C%20Op.%20106%20Hammerklavier%20-%20III.%20Adagio%20sostenuto.ogg
beethoven-minuet | G大调小步舞曲 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Minuet%20in%20G%20(Beethoven)%2C%20piano.ogg | https://commons.wikimedia.org/wiki/File:Minuet%20in%20G%20(Beethoven)%2C%20piano.ogg
beethoven-nine-adagio | 第九交响曲 III：柔板 | https://commons.wikimedia.org/wiki/Special:Redirect/file/03%20Horenstein%209.%20Beethoven%20Pantheon%20XP%202250%20-%203.%20Satz.flac | https://commons.wikimedia.org/wiki/File:03%20Horenstein%209.%20Beethoven%20Pantheon%20XP%202250%20-%203.%20Satz.flac
beethoven-nine-four | 第九交响曲 IV | https://commons.wikimedia.org/wiki/Special:Redirect/file/04%20Horenstein%209.%20Beethoven%20Pantheon%20XP%202550%20-%204.%20satz.flac | https://commons.wikimedia.org/wiki/File:04%20Horenstein%209.%20Beethoven%20Pantheon%20XP%202550%20-%204.%20satz.flac
beethoven-nine-one | 第九交响曲 I | https://commons.wikimedia.org/wiki/Special:Redirect/file/01%20Horenstein%209.%20Beethoven%20Pantheon%20XP%202250%20-%201.%20Satz.flac | https://commons.wikimedia.org/wiki/File:01%20Horenstein%209.%20Beethoven%20Pantheon%20XP%202250%20-%201.%20Satz.flac
beethoven-nine-three | 第九交响曲 III：柔板 | https://commons.wikimedia.org/wiki/Special:Redirect/file/03%20Horenstein%209.%20Beethoven%20Pantheon%20XP%202250%20-%203.%20Satz.flac | https://commons.wikimedia.org/wiki/File:03%20Horenstein%209.%20Beethoven%20Pantheon%20XP%202250%20-%203.%20Satz.flac
